md,DAT,biomass_g_mean,biomass_delta_g_mean,biomass_delta_g_median,biomass_delta_g_sum,n_plants,EC_dS_m_mean,EC_dS_m_min,EC_dS_m_max,EC_dS_m_range,EC_dS_m_daily_net_change,WaterTemp_C_mean,WaterTemp_C_min,WaterTemp_C_max,WaterTemp_C_range,WaterTemp_C_daily_net_change,AirTemp_C_mean,AirTemp_C_min,AirTemp_C_max,AirTemp_C_range,AirTemp_C_daily_net_change,AirHum_pct_mean,AirHum_pct_min,AirHum_pct_max,AirHum_pct_range,AirHum_pct_daily_net_change,Volume_L_mean,Volume_L_min,Volume_L_max,Volume_L_range,Volume_L_daily_net_change,EC_dS_m_delta_sum,EC_dS_m_delta_mean,EC_dS_m_delta_abs_mean,WaterTemp_C_delta_sum,WaterTemp_C_delta_mean,WaterTemp_C_delta_abs_mean,AirTemp_C_delta_sum,AirTemp_C_delta_mean,AirTemp_C_delta_abs_mean,AirHum_pct_delta_sum,AirHum_pct_delta_mean,AirHum_pct_delta_abs_mean,Volume_L_delta_sum,Volume_L_delta_mean,Volume_L_delta_abs_mean,date_key,total_leaf_area_px,delta_total_leaf_area_px,leaf_area_growth_rate_%,mean_ExG,mean_GLI,mean_VARI
02-21,1.0,3.372222222222222,,,0.0,0,2.0507413501346234,1.71817804283906,2.1654142218349706,0.4472361789959105,0.3860484665608334,17.974996599783744,-0.9510713265306148,21.57744792784008,22.528519254370693,-0.9096248392189672,23.13459378866125,22.637697348564,23.466075085324235,0.8283777367602383,-0.0691069977479053,47.45767684089726,45.20689413990852,49.16335991734577,3.956465777437252,-3.186565148243595,76.25381289849894,70.44360895804061,83.55931760871186,13.115708650671252,2.4627051224412355,0.3860484665608334,0.0643414110934722,0.10285703397567,-0.9096248392189672,-0.1516041398698278,7.468332227252678,-0.0691069977479053,-0.0115178329579842,0.2812183468381679,-3.186565148243595,-0.5310941913739325,0.8395440957953125,2.4627051224412355,0.4104508537402059,5.248744621956703,2022-02-21,79652,,,0.5665065050125122,0.4823029935359955,0.2116587460041046
02-22,2.0,7.983333333333334,4.6111111111111125,4.550000000000001,83.00000000000003,18,2.143019814418424,2.0994470925804314,2.170752254545815,0.0713051619653835,0.0253034812799106,19.15271023329696,17.491149073622623,20.41346869703513,2.922319623412505,-0.9514876076710586,21.721561273826936,17.618424810197112,25.734458510366608,8.116033700169496,4.223001845789511,49.76797445158382,40.494866615588215,59.13592324301735,18.64105662742913,-9.013401418587904,78.96691224558218,74.22665746104474,83.52821855608786,9.301561095043128,-9.24010904339582,0.0625757224481069,0.0026073217686711,0.0146060496587147,-1.2058419992570428,-0.0502434166357101,0.2843310471372849,0.0504512897309048,0.002102137072121,0.8007768302144531,-0.0871253279468717,-0.0036302219977863,2.1650589046767754,-3.846039158111239,-0.1602516315879683,5.134680003362974,2022-02-22,362689,283037.0,355.34198764626126,0.90857595205307,0.4214711189270019,7477.626953125
02-23,3.0,9.622222222222222,1.6388888888888875,1.6499999999999986,29.49999999999998,18,2.16771218551074,2.131228892726306,2.2404792179848743,0.1092503252585683,0.0709039836988192,19.05943591081199,17.38012244897959,20.63763691927283,3.2575144702932377,0.2955090954470556,21.929259476116957,17.790702560887837,26.09595493487497,8.305252373987138,4.130801467344618,46.18767563054801,38.56265903972511,55.30020692577372,16.737547886048617,-10.668255612825334,76.64289902091151,71.80212244558956,80.35370100608806,8.551578560498498,-5.958243407774177,0.0684699972144362,0.0028529165506015,0.0117271265288281,0.257658958463935,0.0107357899359972,0.2607237492551058,-0.1367709711871079,-0.0056987904661294,0.7942087749491148,-2.109878166283579,-0.0879115902618157,1.4844483648123632,-0.936995618537992,-0.0390414841057496,5.602421682325915,2022-02-23,122986,-239703.0,-66.09050729412802,0.6967472434043884,0.5419585108757019,0.2742539346218109
02-24,4.0,10.288888888888888,0.6666666666666671,0.5500000000000007,12.000000000000009,18,2.197209689978067,2.167197535876582,2.230026534544529,0.0628289986679471,-0.0250548722628525,19.518737651203825,17.567897552877803,21.4035116203478,3.835614067469997,0.7952041280676099,22.39829503900536,17.877125850340136,27.190004875670404,9.312879025330268,3.5921173759606297,44.45136783595691,33.781400188061575,53.61149526363446,19.830095075572885,-3.205539400060367,73.74911913617412,70.25128322363926,78.64032233786999,8.389039114230727,-2.967859494908197,-0.0315288860365945,-0.0013137035848581,0.0068285501883844,0.7242627115692706,0.0301776129820529,0.2894568926404468,-0.2885598778760609,-0.0120233282448358,0.8287618965390481,2.4391728192983635,0.1016322008040984,1.870533670663941,-0.142647803461017,-0.0059436584775423,3.814619726641812,2022-02-24,152000,29014.0,23.59130307514676,0.7110489010810852,0.5782776474952698,0.3237183690071106
02-25,5.0,12.844444444444443,2.555555555555556,2.599999999999998,45.99999999999999,18,2.203818765961576,2.18114583349578,2.239024096814626,0.0578782633188463,0.0311447269663758,20.039943648036576,18.40467404982471,21.889293764946245,3.484619715121536,0.2724849086392211,22.43333714245084,18.297278911564625,27.0608399503146,8.763561038749977,3.671837779480392,47.46148901184478,38.89724437556593,55.22207837059739,16.324833995031454,-8.120640918483431,71.36623194906691,65.899157352503,74.15934295583007,8.260185603327074,-6.382703221862172,0.0332551475476687,0.0013856311478195,0.004138261513969,0.1136380569292541,0.0047349190387189,0.285650057221409,0.1294420840008321,0.0053934201667013,0.7691885443028187,-0.2534001996703097,-0.0105583416529295,1.7951541737286487,-6.797110484499044,-0.2832129368541268,2.031322724998144,2022-02-25,196700,44700.0,29.40789473684211,0.7389560341835022,0.6211550831794739,0.3841285407543182
02-26,6.0,15.616666666666667,2.772222222222222,2.9499999999999997,49.9,18,2.267068426455968,2.2197552684950104,2.4190627717996835,0.1993075033046731,0.177937830216365,19.99218923332985,18.487298321376336,21.543292517006805,3.0559941956304684,-0.2324424322630029,22.390030366526588,18.57951173643519,26.240765248078752,7.661253511643562,4.154689930579743,47.68769957357232,40.03503401360545,56.13606893269254,16.10103491908709,-8.45334331684893,68.38132114650496,63.732446203348616,71.87666017473921,8.144213971390599,-6.237776799815748,0.1808238513838138,0.0075343271409922,0.0097851695036341,-0.4463382380255822,-0.0185974265843992,0.277660719848235,0.5561056163079563,0.0231710673461648,0.6846158087808502,-2.1424250075456825,-0.0892677086477367,1.5874692005641855,-0.711020179623219,-0.0296258408176341,4.435619866579523,2022-02-26,268722,72022.0,36.615149974580575,0.7688987851142883,0.6013633608818054,0.3578090071678161
02-27,7.0,18.61111111111111,2.9944444444444445,3.0500000000000007,53.9,18,2.423150805561319,2.39928099375382,2.468525344284703,0.0692443505308832,0.0494973753333369,19.414954941646737,17.712301136495554,21.054703147129157,3.3424020106335988,-0.2803931473613303,22.02414224016024,18.11317069489912,26.168533932344268,8.05536323744515,3.8911265700819513,33.22807811348237,24.871584999187387,46.80952380952381,21.937938810336423,-13.041653316616744,64.26955689062369,59.00235858806807,70.68152668919434,11.679168101126272,-11.679168101126272,0.0507030023273782,0.002112625096974,0.0056167622855008,-0.3885889229411923,-0.0161912051225496,0.2947247060086829,-0.1858123795593336,-0.0077421824816389,0.7669592794455663,-9.285367764853376,-0.3868903235355573,1.441271243992478,-6.6365247868553965,-0.2765218661189748,3.0727233392867213,2022-02-27,329132,60410.0,22.48048168739441,0.8397024869918823,0.6235369443893433,0.3972697854042053
02-28,8.0,21.966666666666665,3.355555555555556,3.599999999999998,60.40000000000001,18,2.4807017460800105,2.4570962498351334,2.532777316752023,0.0756810669168897,0.0653216068286273,19.47862145449761,17.147754260407233,21.64200850340136,4.494254242994124,0.6853680260500106,22.14720321291201,17.421727786677813,26.507326275219988,9.085598488542177,4.018774233242787,37.57195618861879,31.774110190151145,42.96653984119245,11.192429651041303,2.8333254974344584,60.22425402922462,55.11834315802204,64.9231918309497,9.804848672927662,-5.081323672404309,0.06425197246732,0.0026771655194716,0.0053750031932115,0.4511523472870351,0.0187980144702931,0.3557231724458838,-0.1220139420956059,-0.0050839142539835,0.8569839504345543,6.5186125815513805,0.2716088575646408,1.4613828644370146,-3.884015430046027,-0.1618339762519177,2.694317679160258,2022-02-28,381366,52234.0,15.87022835822709,0.8909688591957092,0.6046651005744934,0.3685304224491119
03-01,9.0,26.216666666666665,4.249999999999998,4.399999999999999,76.49999999999997,18,2.3976368324301576,2.234318027500926,2.531909056096879,0.2975910285959529,0.275813619016485,19.23501391307376,18.281324638387776,19.813267581435305,1.5319429430475289,-0.512443018504328,21.38564679782607,18.330449142114183,23.27159080355692,4.941141661442735,3.777515033317084,53.2723817819221,47.57709044368601,60.25518533351908,12.67809488983307,-9.1655821202201,61.065548535206055,56.59527959648122,65.84023330846344,9.24495371198222,-5.082778944907517,0.280570745919221,0.0116904477466342,0.014378468200733,-0.5529959833762845,-0.0230414993073451,0.1453124158366421,-0.4564437208330432,-0.0190184883680434,0.543094892251554,-0.6918994218847914,-0.0288291425785329,1.4226554942227163,-0.4423801966927954,-0.0184325081955331,3.22373556299889,2022-03-01,476791,95425.0,25.02189497752816,0.8728203773498535,0.606951117515564,0.3912729322910309
03-02,10.0,31.04444444444444,4.8277777777777775,4.850000000000001,86.89999999999999,18,2.517876264337119,2.4934473622063464,2.542467998869488,0.0490206366631409,0.0152403080991789,18.230209041950115,16.675404587773674,19.131042737572848,2.4556381497991744,-0.1133983132502152,20.699501755338087,16.525724095098795,22.910940656125927,6.385216561027132,3.570946228320686,45.12797843966938,40.26853886605837,54.04367323721298,13.775134371154609,-9.12300358710037,56.52965471950508,53.24841853201361,59.62334419792503,6.37492566591142,-2.4003195225408405,0.0216802432457243,0.0009033434685718,0.0040282972542115,-0.3897988205521159,-0.0162416175230048,0.2281375417914614,-0.76569820761069,-0.0319040919837787,0.5847988278075725,-4.062472429244743,-0.1692696845518642,1.414595304845487,-5.443743589292353,-0.226822649553848,2.0199067487664206,2022-03-02,547975,71184.0,14.929812014069066,0.9706444144248962,0.5553603172302246,4.60184383392334
